,Ticker Symbol,Period Ending,Cost of Revenue,Earnings Before Interest and Tax,Earnings Before Tax,Gross Profit,Income Tax,"Sales, General and Admin.",Total Current Liabilities,Total Revenue,For Year,PeriodEndingInDate
0,AAL,2012-12-31,10499000000.0,-1813000000.0,-2445000000.0,14356000000.0,-569000000.0,12977000000.0,9011000000.0,24855000000.0,2012.0,2012-12-31
1,AAL,2013-12-31,11019000000.0,-1324000000.0,-2180000000.0,15724000000.0,-346000000.0,12913000000.0,13806000000.0,26743000000.0,2013.0,2013-12-31
2,AAL,2014-12-31,15620000000.0,4099000000.0,3212000000.0,27030000000.0,330000000.0,20686000000.0,13404000000.0,42650000000.0,2014.0,2014-12-31
3,AAL,2015-12-31,11096000000.0,5496000000.0,4616000000.0,29894000000.0,-2994000000.0,21275000000.0,13605000000.0,40990000000.0,2015.0,2015-12-31
4,AAP,2012-12-29,3106967000.0,657915000.0,624074000.0,3098036000.0,236404000.0,2440721000.0,2559638000.0,6205003000.0,2012.0,2012-12-29
5,AAP,2013-12-28,3241668000.0,663016000.0,626398000.0,3252146000.0,234640000.0,2591828000.0,2764785000.0,6493814000.0,2013.0,2013-12-28
6,AAP,2015-01-03,5390248000.0,854802000.0,781394000.0,4453613000.0,287569000.0,3601903000.0,3654416000.0,9843861000.0,2014.0,2015-01-03
7,AAP,2016-01-02,5314246000.0,818296000.0,752888000.0,4422772000.0,279490000.0,3596992000.0,3797477000.0,9737018000.0,2015.0,2016-01-02
8,AAPL,2013-09-28,106606000000.0,50155000000.0,50155000000.0,64304000000.0,13118000000.0,10830000000.0,43658000000.0,170910000000.0,2013.0,2013-09-28
9,AAPL,2014-09-27,112258000000.0,53483000000.0,53483000000.0,70537000000.0,13973000000.0,11993000000.0,63448000000.0,182795000000.0,2014.0,2014-09-27
10,AAPL,2015-09-26,140089000000.0,72515000000.0,72515000000.0,93626000000.0,19121000000.0,14329000000.0,80610000000.0,233715000000.0,2015.0,2015-09-26
11,AAPL,2016-09-24,131376000000.0,61372000000.0,61372000000.0,84263000000.0,15685000000.0,14194000000.0,79006000000.0,215639000000.0,2016.0,2016-09-24
12,ABBV,2013-12-31,4581000000.0,5610000000.0,5332000000.0,14209000000.0,1204000000.0,5352000000.0,6879000000.0,18790000000.0,2013.0,2013-12-31
13,ABBV,2014-12-31,4426000000.0,2760000000.0,2369000000.0,15534000000.0,595000000.0,8474000000.0,11393000000.0,19960000000.0,2014.0,2014-12-31
14,ABBV,2015-12-31,4500000000.0,7331000000.0,6645000000.0,18359000000.0,1501000000.0,6387000000.0,10894000000.0,22859000000.0,2015.0,2015-12-31
15,ABC,2013-09-30,85451348000.0,898355000.0,824458000.0,2507819000.0,331023000.0,1447234000.0,14870635000.0,87959167000.0,2013.0,2013-09-30
16,ABC,2014-09-30,116586761000.0,753497000.0,669863000.0,2982366000.0,388087000.0,2011595000.0,17250160000.0,119569127000.0,2014.0,2014-09-30
17,ABC,2015-09-30,132432490000.0,378000000.0,268964000.0,3529313000.0,407129000.0,2858458000.0,21578227000.0,135961803000.0,2015.0,2015-09-30
18,ABC,2016-09-30,142577080000.0,1530822000.0,1390910000.0,4272606000.0,-37019000.0,2382097000.0,25281308000.0,146849686000.0,2016.0,2016-09-30
19,ABT,2012-12-31,8899000000.0,100000000.0,-220000000.0,10151000000.0,-457000000.0,6735000000.0,13280000000.0,19050000000.0,2012.0,2012-12-31
20,ABT,2013-12-31,9193000000.0,2186000000.0,2041000000.0,10464000000.0,53000000.0,6372000000.0,9507000000.0,19657000000.0,2013.0,2013-12-31
21,ABT,2014-12-31,9218000000.0,2668000000.0,2518000000.0,11029000000.0,797000000.0,6530000000.0,10467000000.0,20247000000.0,2014.0,2014-12-31
22,ABT,2015-12-31,8747000000.0,3346000000.0,3183000000.0,11658000000.0,577000000.0,6785000000.0,9186000000.0,20405000000.0,2015.0,2015-12-31
23,ADBE,2013-11-29,586557000.0,423649000.0,356141000.0,3468683000.0,66156000.0,2140578000.0,1525648000.0,4055240000.0,2013.0,2013-11-29
24,ADBE,2014-11-28,622080000.0,421108000.0,361376000.0,3524985000.0,92981000.0,2195640000.0,2494435000.0,4147065000.0,2014.0,2014-11-28
25,ADBE,2015-11-27,744317000.0,937965000.0,873781000.0,4051194000.0,244230000.0,2215161000.0,2213556000.0,4795511000.0,2015.0,2015-11-27
26,ADI,2013-11-02,941278000.0,842425000.0,815323000.0,1692411000.0,141836000.0,396233000.0,570512000.0,2633689000.0,2013.0,2013-11-02
27,ADI,2014-11-01,1034585000.0,764129000.0,729345000.0,1830188000.0,100025000.0,454676000.0,709056000.0,2864773000.0,2014.0,2014-11-01
28,ADI,2015-10-31,1175830000.0,837144000.0,810114000.0,2259262000.0,113236000.0,702644000.0,1113585000.0,3435092000.0,2015.0,2015-10-31
29,ADI,2016-10-29,1194236000.0,1045678000.0,956921000.0,2227173000.0,95257000.0,461438000.0,782934000.0,3421409000.0,2016.0,2016-10-29
30,ADM,2013-12-31,85915000000.0,2437000000.0,2024000000.0,3889000000.0,670000000.0,1759000000.0,15658000000.0,89804000000.0,2013.0,2013-12-31
31,ADM,2014-12-31,76433000000.0,3467000000.0,3130000000.0,4768000000.0,877000000.0,1907000000.0,15602000000.0,81201000000.0,2014.0,2014-12-31
32,ADM,2015-12-31,63682000000.0,2592000000.0,2284000000.0,4020000000.0,438000000.0,2010000000.0,13505000000.0,67702000000.0,2015.0,2015-12-31
33,ADS,2012-12-31,2392091000.0,974364000.0,682904000.0,1249299000.0,260648000.0,108059000.0,5032777000.0,3641390000.0,2012.0,2012-12-31
34,ADS,2013-12-31,2894917000.0,1098912000.0,793412000.0,1424146000.0,297242000.0,109115000.0,4512498000.0,4319063000.0,2013.0,2013-12-31
35,ADS,2014-12-31,3643979000.0,1098467000.0,837941000.0,1658961000.0,321801000.0,247412000.0,6305483000.0,5302940000.0,2014.0,2014-12-31
36,ADS,2015-12-31,4482700000.0,1261860000.0,931676000.0,1957046000.0,326248000.0,203046000.0,6405559000.0,6439746000.0,2015.0,2015-12-31
37,ADSK,2013-01-31,238500000.0,310000000.0,310000000.0,2073700000.0,62600000.0,1081800000.0,1043700000.0,2312200000.0,2013.0,2013-01-31
38,ADSK,2014-01-31,274300000.0,284800000.0,279900000.0,1999600000.0,51100000.0,1054400000.0,1071500000.0,2273900000.0,2014.0,2014-01-31
39,ADSK,2015-01-31,342100000.0,120700000.0,83000000.0,2170100000.0,1200000.0,1281300000.0,1400100000.0,2512200000.0,2015.0,2015-01-31
40,ADSK,2016-01-31,370700000.0,1300000.0,-20300000.0,2133400000.0,310200000.0,1308900000.0,1591000000.0,2504100000.0,2016.0,2016-01-31
41,AEE,2012-12-31,3477000000.0,1221000000.0,829000000.0,2304000000.0,307000000.0,443000000.0,2686000000.0,5781000000.0,2012.0,2012-12-31
42,AEE,2013-12-31,3490000000.0,1227000000.0,829000000.0,2348000000.0,311000000.0,458000000.0,2461000000.0,5838000000.0,2013.0,2013-12-31
43,AEE,2014-12-31,3586000000.0,1311000000.0,970000000.0,2467000000.0,377000000.0,468000000.0,2249000000.0,6053000000.0,2014.0,2014-12-31
44,AEE,2015-12-31,3501000000.0,1303000000.0,948000000.0,2597000000.0,363000000.0,542000000.0,2093000000.0,6098000000.0,2015.0,2015-12-31
45,AEP,2012-12-31,6395000000.0,2810000000.0,1822000000.0,8550000000.0,604000000.0,3812000000.0,6823000000.0,14945000000.0,2012.0,2012-12-31
46,AEP,2013-12-31,6722300000.0,2983300000.0,2093300000.0,8091200000.0,677700000.0,3329800000.0,6112000000.0,14813500000.0,2013.0,2013-12-31
47,AEP,2014-12-31,7685700000.0,3270900000.0,2402900000.0,8692900000.0,902600000.0,3667900000.0,7966600000.0,16378600000.0,2014.0,2014-12-31
48,AFL,2012-12-31,17074000000.0,4563000000.0,4302000000.0,8290000000.0,1436000000.0,0.0,0.0,25364000000.0,2012.0,2012-12-31
49,AFL,2013-12-31,15341000000.0,5109000000.0,4816000000.0,8598000000.0,1658000000.0,0.0,0.0,23939000000.0,2013.0,2013-12-31
50,AFL,2014-12-31,14373000000.0,4808000000.0,4491000000.0,8355000000.0,1540000000.0,0.0,0.0,22728000000.0,2014.0,2014-12-31
51,AFL,2015-12-31,13049000000.0,4151000000.0,3862000000.0,7823000000.0,1329000000.0,0.0,0.0,20872000000.0,2015.0,2015-12-31
52,AIG,2012-12-31,37745000000.0,5210000000.0,2891000000.0,33469000000.0,-808000000.0,21491000000.0,0.0,71214000000.0,2012.0,2012-12-31
53,AIG,2013-12-31,34660000000.0,11510000000.0,9368000000.0,34214000000.0,360000000.0,22005000000.0,0.0,68874000000.0,2013.0,2013-12-31
54,AIG,2014-12-31,33611000000.0,12219000000.0,10501000000.0,30795000000.0,2927000000.0,18491000000.0,0.0,64406000000.0,2014.0,2014-12-31
