,date,symbol,open,close,low,high,volume,reported_year,reported_month
439,2010-01-04,GOOG,312.304948382,312.205308358,310.955000817,313.580158083,3927000.0,2010,1
544,2010-01-04,MSFT,30.620001,30.950001,30.59,31.1,38409100.0,2010,1
284,2010-01-04,AMZN,136.25,133.899994,133.139999,136.610001,7599900.0,2010,1
254,2010-01-04,AAPL,30.4899997143,30.5728568571,30.3400001428,30.6428565714,123432400.0,2010,1
1012,2010-01-05,MSFT,30.85,30.959999,30.639999,31.1,49749600.0,2010,1
907,2010-01-05,GOOG,312.419511472,310.830458632,309.610028105,312.748278173,6031900.0,2010,1
751,2010-01-05,AMZN,133.429993,134.690002,131.809998,135.479996,8851900.0,2010,1
721,2010-01-05,AAPL,30.6571425714,30.6257132857,30.4642848571,30.7985705714,150476200.0,2010,1
1375,2010-01-06,GOOG,311.761978566,302.994812557,302.048369558,311.761978566,7987100.0,2010,1
1480,2010-01-06,MSFT,30.879999,30.77,30.52,31.08,58182400.0,2010,1
1219,2010-01-06,AMZN,134.600006,132.25,131.649994,134.729996,7178800.0,2010,1
1189,2010-01-06,AAPL,30.6257132857,30.1385707143,30.1071434285,30.7471428571,138040000.0,2010,1
1843,2010-01-07,GOOG,303.562685032,295.941242071,295.218950896,303.86157472,12876600.0,2010,1
1948,2010-01-07,MSFT,30.629999,30.450001,30.190001,30.700001,50559700.0,2010,1
1687,2010-01-07,AMZN,132.009995,130.0,128.800003,132.320007,11030200.0,2010,1
1657,2010-01-07,AAPL,30.25,30.0828571428,29.8642864285,30.2857151428,119282800.0,2010,1
2311,2010-01-08,GOOG,294.895159047,299.886469888,293.455550553,300.499172329,9483900.0,2010,1
2416,2010-01-08,MSFT,30.280001,30.66,30.24,30.879999,51197400.0,2010,1
2155,2010-01-08,AMZN,130.559998,133.520004,129.029999,133.679993,9830500.0,2010,1
2125,2010-01-08,AAPL,30.0428562857,30.2828578571,29.865715,30.2857151428,111902700.0,2010,1
2779,2010-01-11,GOOG,301.10192606,299.433161001,295.911365555,301.10192606,14479800.0,2010,1
2884,2010-01-11,MSFT,30.709999,30.27,30.120001,30.76,68754700.0,2010,1
2623,2010-01-11,AMZN,132.619995,130.309998,129.210007,132.800003,8779400.0,2010,1
2593,2010-01-11,AAPL,30.3999995714,30.0157147143,29.7785721428,30.4285717143,115557400.0,2010,1
3247,2010-01-12,GOOG,297.709616768,294.138016503,292.902632525,297.963675992,9742900.0,2010,1
3352,2010-01-12,MSFT,30.15,30.07,29.91,30.4,65912100.0,2010,1
3091,2010-01-12,AMZN,128.990005,127.349998,126.550003,129.820007,9096300.0,2010,1
3061,2010-01-12,AAPL,29.884285,29.6742858571,29.4885711428,29.9671421428,148614900.0,2010,1
3715,2010-01-13,GOOG,287.169102205,292.449323638,285.878938555,293.091932981,13041800.0,2010,1
3820,2010-01-13,MSFT,30.26,30.35,30.01,30.52,51863500.0,2010,1
3559,2010-01-13,AMZN,127.900002,129.110001,125.75,129.710007,10723200.0,2010,1
3529,2010-01-13,AAPL,29.695715,30.0928574285,29.1571425714,30.1328564285,151473000.0,2010,1
4183,2010-01-14,GOOG,290.8602703,293.824173364,290.317331369,295.99104689,8511900.0,2010,1
4288,2010-01-14,MSFT,30.309999,30.959999,30.26,31.1,63228100.0,2010,1
4027,2010-01-14,AMZN,129.139999,127.349998,126.400002,130.380005,9774900.0,2010,1
3997,2010-01-14,AAPL,30.0157147143,29.9185714285,29.8600005714,30.0657138571,108223500.0,2010,1
4651,2010-01-15,GOOG,295.562671048,288.917548598,287.941228585,295.672259783,10909600.0,2010,1
4756,2010-01-15,MSFT,31.08,30.860001,30.709999,31.24,79913200.0,2010,1
4495,2010-01-15,AMZN,129.179993,127.139999,127.059998,129.649994,15376500.0,2010,1
4465,2010-01-15,AAPL,30.1328564285,29.4185714285,29.4099998571,30.228571,148516900.0,2010,1
5119,2010-01-19,GOOG,289.515327974,292.713331572,287.069492566,294.108109103,8665700.0,2010,1
5224,2010-01-19,MSFT,30.75,31.1,30.68,31.24,46575700.0,2010,1
4963,2010-01-19,AMZN,126.309998,127.610001,124.330002,128.0,8892600.0,2010,1
4933,2010-01-19,AAPL,29.7614288571,30.7199992857,29.6057148571,30.7414284285,182501900.0,2010,1
5587,2010-01-20,GOOG,291.896405113,289.121803003,286.571353215,291.896405113,6525700.0,2010,1
5692,2010-01-20,MSFT,30.809999,30.59,30.309999,30.940001,54849500.0,2010,1
5431,2010-01-20,AMZN,127.129997,125.779999,125.080002,129.199997,9074700.0,2010,1
5401,2010-01-20,AAPL,30.7014294285,30.2471428571,29.9285717143,30.7928562857,153038200.0,2010,1
6055,2010-01-21,GOOG,290.631144122,290.401987059,285.057037741,292.314832245,12662600.0,2010,1
6160,2010-01-21,MSFT,30.610001,30.01,30.0,30.719999,73086700.0,2010,1
5899,2010-01-21,AMZN,127.260002,126.620003,125.0,128.149994,9970600.0,2010,1
5869,2010-01-21,AAPL,30.297142,29.7242851428,29.601429,30.4728565714,152038600.0,2010,1
6523,2010-01-22,GOOG,281.196496497,273.978527716,266.431792233,284.235106541,13651700.0,2010,1
6628,2010-01-22,MSFT,30.0,28.959999,28.84,30.200001,102004600.0,2010,1
6367,2010-01-22,AMZN,125.599998,121.43,120.760002,127.669998,11568900.0,2010,1
6337,2010-01-22,AAPL,29.5400008571,28.25,28.1657142857,29.6428565714,220441900.0,2010,1
7096,2010-01-25,MSFT,29.24,29.32,29.1,29.66,63373000.0,2010,1
6991,2010-01-25,GOOG,272.274911289,268.992221616,266.75558458,273.913769446,8872800.0,2010,1
6805,2010-01-25,AAPL,28.9300002857,29.0100002857,28.5985717143,29.242857,266424900.0,2010,1
6835,2010-01-25,AMZN,122.099998,120.309998,118.120003,122.279999,12023900.0,2010,1
7459,2010-01-26,GOOG,267.980989462,270.197698193,267.144134699,273.774303698,8743600.0,2010,1
7564,2010-01-26,MSFT,29.200001,29.5,29.09,29.85,66639900.0,2010,1
7303,2010-01-26,AMZN,120.559998,119.480003,119.059998,122.980003,9559000.0,2010,1
7273,2010-01-26,AAPL,29.4214287143,29.4200001428,28.9400005714,30.5300007143,466777500.0,2010,1
7927,2010-01-27,GOOG,269.624851862,270.03830464,266.655974942,272.802927654,7958400.0,2010,1
8032,2010-01-27,MSFT,29.35,29.67,29.02,29.82,63949500.0,2010,1
7771,2010-01-27,AMZN,121.029999,122.75,118.800003,123.330002,14765300.0,2010,1
7741,2010-01-27,AAPL,29.5499992857,29.6971435714,28.5042858571,30.0828571428,430642100.0,2010,1
8395,2010-01-28,GOOG,271.228828265,266.147856494,264.309748674,272.479135307,6482300.0,2010,1
8500,2010-01-28,MSFT,29.84,29.16,28.889999,29.870001,117513700.0,2010,1
8239,2010-01-28,AMZN,124.43,126.029999,122.800003,127.199997,27293100.0,2010,1
8209,2010-01-28,AAPL,29.2757148571,28.4699992857,28.3857135714,29.3571434285,293375600.0,2010,1
8863,2010-01-29,GOOG,268.24002304,263.98098247,261.824057156,269.485355728,8311900.0,2010,1
8968,2010-01-29,MSFT,29.9,28.18,27.66,29.92,193888500.0,2010,1
8707,2010-01-29,AMZN,129.770004,125.410004,124.139999,131.850006,29471300.0,2010,1
8677,2010-01-29,AAPL,28.7257137143,27.4371432857,27.1785717143,28.8857135714,311488100.0,2010,1
9331,2010-02-01,GOOG,266.302306079,265.51522575,264.16030383,266.905029424,4518400.0,2010,2
9436,2010-02-01,MSFT,28.389999,28.41,27.92,28.48,85931100.0,2010,2
9175,2010-02-01,AMZN,123.18,118.870003,113.82,124.860001,37774400.0,2010,2
9145,2010-02-01,AAPL,27.4814281428,27.8185711428,27.3285712857,28.0,187469100.0,2010,2
9799,2010-02-02,GOOG,266.481627439,264.56878275,262.820335859,266.481627439,8223000.0,2010,2
9904,2010-02-02,MSFT,28.370001,28.459999,28.139999,28.5,54413700.0,2010,2
9643,2010-02-02,AMZN,118.790001,118.120003,114.400002,118.980003,23079700.0,2010,2
9613,2010-02-02,AAPL,27.9871425714,27.9799995714,27.6257132857,28.0457134285,174585600.0,2010,2
10267,2010-02-03,GOOG,263.348351725,269.400669652,263.129174256,270.03830464,6020500.0,2010,2
10372,2010-02-03,MSFT,28.26,28.629999,28.120001,28.790001,61397900.0,2010,2
10111,2010-02-03,AMZN,117.120003,119.099998,116.559998,119.610001,12405900.0,2010,2
10081,2010-02-03,AAPL,27.8814277143,28.4614277143,27.7742862857,28.6000004285,153832000.0,2010,2
10735,2010-02-04,GOOG,267.497803561,262.406883081,261.799154995,267.995942913,6780600.0,2010,2
10840,2010-02-04,MSFT,28.379999,27.84,27.809999,28.5,77850000.0,2010,2
10579,2010-02-04,AMZN,118.639999,115.940002,115.739998,120.330002,12784000.0,2010,2
10549,2010-02-04,AAPL,28.1042861428,27.4357147143,27.3671435714,28.3385715714,189413000.0,2010,2
11203,2010-02-05,GOOG,263.21386083,264.653468826,260.254963006,265.754331523,6335600.0,2010,2
11308,2010-02-05,MSFT,28.0,28.02,27.57,28.280001,80960100.0,2010,2
11047,2010-02-05,AMZN,115.879997,117.389999,114.099998,117.650002,11024800.0,2010,2
11017,2010-02-05,AAPL,27.5185718571,27.9228572857,27.264286,28.0,212576700.0,2010,2
11671,2010-02-08,GOOG,265.256222557,265.739408458,264.77300627,269.988469434,5408700.0,2010,2
11776,2010-02-08,MSFT,28.01,27.719999,27.57,28.08,52820600.0,2010,2
11515,2010-02-08,AMZN,119.379997,116.830002,116.559998,121.0,9890200.0,2010,2
11485,2010-02-08,AAPL,27.9557151428,27.7314281428,27.7142848571,28.2685718571,119567700.0,2010,2
12139,2010-02-09,GOOG,268.763064552,267.218872563,266.536406613,269.7543689,5660200.0,2010,2
12244,2010-02-09,MSFT,27.969999,28.01,27.75,28.34,59195800.0,2010,2
11983,2010-02-09,AMZN,118.199997,118.029999,117.0,119.089996,9223000.0,2010,2
11953,2010-02-09,AAPL,28.0599994285,28.0271434285,27.8214282857,28.2142848571,158221700.0,2010,2
12607,2010-02-10,GOOG,266.038267262,266.227568215,262.860191968,267.891328533,5369000.0,2010,2
12712,2010-02-10,MSFT,28.030001,27.99,27.84,28.24,48591300.0,2010,2
12451,2010-02-10,AMZN,118.0,117.360001,116.0,118.610001,6233200.0,2010,2
12421,2010-02-10,AAPL,27.9842852857,27.8742867143,27.7514285714,28.0857142857,92590400.0,2010,2
13075,2010-02-11,GOOG,265.664670594,267.198944259,263.761805001,269.236301743,4838000.0,2010,2
13180,2010-02-11,MSFT,27.93,28.120001,27.700001,28.4,65993700.0,2010,2
12919,2010-02-11,AMZN,117.209999,120.089996,116.5,120.419998,8343500.0,2010,2
12889,2010-02-11,AAPL,27.8400001428,28.3814277143,27.7228565714,28.5357151428,137586400.0,2010,2
13648,2010-02-12,MSFT,27.809999,27.93,27.58,28.059999,81117200.0,2010,2
13543,2010-02-12,GOOG,265.490323589,265.565060955,264.259943854,267.572541425,4576400.0,2010,2
13357,2010-02-12,AAPL,28.3014278571,28.6257132857,27.9285717143,28.8057137143,163867200.0,2010,2
13387,2010-02-12,AMZN,118.989998,119.660004,117.5,119.940002,8073500.0,2010,2
14011,2010-02-16,GOOG,267.433045291,269.639774927,266.152861235,271.049506407,7336100.0,2010,2
14116,2010-02-16,MSFT,28.129999,28.35,28.02,28.370001,51935600.0,2010,2
13855,2010-02-16,AMZN,120.059998,117.529999,117.18,120.5,8932700.0,2010,2
13825,2010-02-16,AAPL,28.8485717143,29.0571422857,28.7885722857,29.0985717143,135934400.0,2010,2
14479,2010-02-17,GOOG,269.988469434,268.100557292,267.801667604,270.685858449,4074500.0,2010,2
14584,2010-02-17,MSFT,28.530001,28.59,28.360001,28.65,45882900.0,2010,2
14323,2010-02-17,AMZN,117.07,116.309998,115.550003,117.129997,8944800.0,2010,2
14293,2010-02-17,AAPL,29.1700001428,28.9357147143,28.6942862857,29.1871432857,109099200.0,2010,2
15052,2010-02-18,MSFT,28.59,28.969999,28.51,29.030001,42856500.0,2010,2
14947,2010-02-18,GOOG,267.766816734,270.59619752,267.069427719,271.487861843,4691200.0,2010,2
14791,2010-02-18,AMZN,115.839996,118.080002,114.82,118.510002,9800100.0,2010,2
14761,2010-02-18,AAPL,28.804285,28.9899997143,28.702858,29.127142,105706300.0,2010,2
15415,2010-02-19,GOOG,269.256229549,269.370792638,268.842776771,270.999701588,5125300.0,2010,2
15520,2010-02-19,MSFT,28.790001,28.77,28.690001,28.92,44451800.0,2010,2
15259,2010-02-19,AMZN,117.910004,117.519997,117.0,119.089996,7115600.0,2010,2
15229,2010-02-19,AAPL,28.837143,28.8099994285,28.7299995714,29.0285721428,103867400.0,2010,2
15883,2010-02-22,GOOG,272.65348281,270.386999147,269.490360967,272.728220176,4305100.0,2010,2
15988,2010-02-22,MSFT,28.84,28.73,28.65,28.940001,36707100.0,2010,2
15727,2010-02-22,AMZN,117.370003,118.010002,116.18,118.970001,6807300.0,2010,2
15697,2010-02-22,AAPL,28.905714,28.6314277143,28.4557151428,28.9285717143,97640900.0,2010,2
16351,2010-02-23,GOOG,270.486608786,266.536406613,265.151608178,270.800451924,5766600.0,2010,2
16456,2010-02-23,MSFT,28.68,28.33,28.09,28.83,52266200.0,2010,2
16195,2010-02-23,AMZN,118.010002,117.239998,116.510002,119.25,7068200.0,2010,2
16165,2010-02-23,AAPL,28.5714282857,28.1514282857,27.9585704285,28.7614288571,143773700.0,2010,2
16819,2010-02-24,GOOG,265.993437295,264.743129755,264.264918707,268.215120382,4670500.0,2010,2
16924,2010-02-24,MSFT,28.52,28.629999,28.379999,28.790001,43165900.0,2010,2
16663,2010-02-24,AMZN,117.959999,119.720001,117.150002,119.800003,7389900.0,2010,2
16633,2010-02-24,AAPL,28.3185711428,28.6657142857,28.2628574285,28.7771434285,115141600.0,2010,2
17287,2010-02-25,GOOG,262.576255731,262.232536076,259.02952724,263.258691295,6643100.0,2010,2
17392,2010-02-25,MSFT,28.27,28.6,28.02,28.65,48735300.0,2010,2
17131,2010-02-25,AMZN,118.169998,118.199997,115.849998,118.339996,9533400.0,2010,2
17101,2010-02-25,AAPL,28.1971435714,28.8571434285,28.127142,28.9799995714,166281500.0,2010,2
17755,2010-02-26,GOOG,262.725700575,262.416862177,260.763051067,264.882625889,4113800.0,2010,2
17860,2010-02-26,MSFT,28.65,28.67,28.51,28.85,40370600.0,2010,2
17599,2010-02-26,AMZN,117.879997,118.400002,117.0,119.43,5721600.0,2010,2
17569,2010-02-26,AAPL,28.9114284285,29.2314281428,28.8571434285,29.3099994285,126865200.0,2010,2
18223,2010-03-01,GOOG,263.612360157,265.350857841,262.885094129,265.649747529,4492500.0,2010,3
18328,2010-03-01,MSFT,28.77,29.02,28.530001,29.049999,43805400.0,2010,3
18067,2010-03-01,AMZN,118.699997,124.540001,117.529999,124.660004,13296500.0,2010,3
18037,2010-03-01,AAPL,29.3928565714,29.8557148571,29.3500004285,29.9285717143,137523400.0,2010,3
18691,2010-03-02,GOOG,266.740661017,269.520237482,266.506530098,271.811653692,8746200.0,2010,3
18796,2010-03-02,MSFT,29.08,28.459999,28.24,29.299999,93123900.0,2010,3
18535,2010-03-02,AMZN,125.010002,125.529999,124.800003,127.349998,12097500.0,2010,3
18505,2010-03-02,AAPL,29.9899997143,29.8357142857,29.6771431428,30.1185722857,141636600.0,2010,3
19159,2010-03-03,GOOG,270.167821678,271.642281042,268.618624449,273.037058574,6201800.0,2010,3
19264,2010-03-03,MSFT,28.51,28.459999,28.35,28.610001,48442100.0,2010,3
19003,2010-03-03,AMZN,125.400002,125.889999,124.43,126.940002,6440400.0,2010,3
18973,2010-03-03,AAPL,29.8485717143,29.9042854285,29.7057151428,29.9814281428,93013200.0,2010,3
19627,2010-03-04,GOOG,272.230080824,276.259995216,272.08063598,277.027116856,6391300.0,2010,3
19732,2010-03-04,MSFT,28.459999,28.629999,28.27,28.65,42890600.0,2010,3
19471,2010-03-04,AMZN,125.980003,128.529999,125.57,128.850006,7509700.0,2010,3
19441,2010-03-04,AAPL,29.8971424285,30.101429,29.804285,30.1314277143,91510300.0,2010,3
20095,2010-03-05,GOOG,279.627371463,281.052026008,278.905080288,282.775570241,7853700.0,2010,3
20200,2010-03-05,MSFT,28.66,28.59,28.42,28.68,56001800.0,2010,3
19939,2010-03-05,AMZN,129.130005,128.910004,127.07,129.449997,6769300.0,2010,3
19909,2010-03-05,AAPL,30.7057151428,31.2785721428,30.6614284285,31.3857135714,224905100.0,2010,3
20563,2010-03-08,GOOG,281.335962245,280.190269084,279.457998813,281.535211909,4790600.0,2010,3
20668,2010-03-08,MSFT,28.52,28.629999,28.5,28.93,39414500.0,2010,3
